,0
0,1
1,2
2,0
3,0
4,0
5,1
6,3
7,1
8,3
9,0
10,1
11,0
12,3
13,3
14,2
15,1
16,2
17,1
18,3
19,1
20,1
21,4
22,1
23,4
24,2
25,1
26,0
27,1
28,4
29,1
30,4
31,4
32,0
33,0
34,1
35,2
36,2
37,4
38,0
39,0
40,2
41,4
42,0
43,2
44,3
45,4
46,1
47,2
48,3
49,0
50,4
51,3
52,2
53,0
54,1
55,0
56,0
57,3
58,2
59,1
60,0
61,0
62,2
63,0
64,1
65,3
66,2
67,2
68,3
69,0
70,1
71,4
72,2
73,3
74,3
75,3
76,0
77,1
78,2
79,0
80,3
81,2
82,3
83,1
84,4
85,0
86,4
87,4
88,0
89,2
90,4
91,4
92,0
93,0
94,0
95,2
96,0
97,2
98,1
99,2
100,0
101,1
102,3
103,1
104,2
105,0
106,1
107,2
108,4
109,4
110,3
111,2
112,4
113,2
114,3
115,3
116,1
117,2
118,1
119,2
120,4
121,0
122,1
123,2
124,2
125,0
126,2
127,3
128,0
129,2
130,0
131,3
132,1
133,0
134,1
135,3
136,3
137,4
138,3
139,0
140,3
141,2
142,2
143,3
144,3
145,0
146,1
147,0
148,3
149,4
150,1
151,3
152,1
153,4
154,3
155,1
156,4
157,2
158,3
159,0
160,2
161,2
162,3
163,3
164,1
165,2
166,1
167,4
168,1
169,3
170,2
171,4
172,1
173,2
174,4
175,2
176,0
177,2
178,3
179,1
180,3
181,1
182,1
183,3
184,3
185,1
186,1
187,3
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,3
196,3
197,3
198,0
199,1
200,0
201,4
202,1
203,4
204,3
205,1
206,0
207,4
208,4
209,3
210,4
211,3
212,2
213,0
214,1
215,1
216,4
217,3
218,4
219,4
220,3
221,3
222,0
223,3
224,0
225,0
226,3
227,3
228,2
229,3
230,3
231,1
232,0
233,0
234,4
235,0
236,1
237,4
238,1
239,3
240,0
241,3
242,3
243,0
244,3
245,1
246,3
247,1
248,1
249,3
250,0
251,1
252,1
253,0
254,2
255,1
256,0
257,4
258,1
259,2
260,0
261,4
262,4
263,4
264,3
265,3
266,3
267,0
268,0
269,4
270,4
271,0
272,3
273,3
274,4
275,0
276,0
277,0
278,1
279,4
280,3
281,1
282,3
283,3
284,2
285,2
286,2
287,4
288,0
289,2
290,3
291,4
292,0
293,2
294,1
295,3
296,0
297,2
298,0
299,0
300,0
301,3
302,2
303,3
304,2
305,3
306,3
307,3
308,2
309,3
310,3
311,4
312,3
313,2
314,2
315,2
316,2
317,0
318,1
319,3
320,1
321,4
322,2
323,0
324,2
325,1
326,3
327,0
328,0
329,3
330,2
331,0
332,3
333,3
334,2
335,1
336,1
337,3
338,1
339,1
340,0
341,0
342,0
343,0
344,3
345,3
346,0
347,3
348,4
349,1
350,2
351,3
352,4
353,0
354,0
355,3
356,3
357,1
358,2
359,2
360,3
361,2
362,3
363,4
364,0
365,1
366,0
367,1
368,2
369,2
370,3
371,4
372,2
373,3
374,1
375,0
376,3
377,1
378,0
379,2
380,1
381,2
382,0
383,0
384,3
385,0
386,0
387,2
388,1
389,1
390,0
391,0
392,3
393,4
394,1
395,2
396,3
397,4
398,2
399,4
400,3
401,1
402,4
403,3
404,2
405,3
406,3
407,2
408,2
409,3
410,2
411,3
412,1
413,0
414,1
415,3
416,0
417,3
418,3
419,4
420,4
421,2
422,2
423,3
424,1
425,4
426,2
427,2
428,0
429,2
430,2
431,1
432,0
433,2
434,2
435,0
436,1
437,4
438,2
439,0
440,0
441,2
442,2
443,1
444,0
445,4
446,3
447,0
448,2
449,3
450,0
451,0
452,4
453,1
454,4
455,3
456,1
457,3
458,3
459,4
460,3
461,3
462,3
463,4
464,2
465,2
466,3
467,1
468,4
469,0
470,0
471,2
472,3
473,2
474,1
475,1
476,4
477,3
478,2
479,0
480,1
481,3
482,2
483,2
484,3
485,0
486,2
487,3
488,0
489,3
490,4
491,2
492,3
493,4
494,4
495,0
496,2
497,2
498,1
499,3
500,4
501,3
502,0
503,3
504,1
505,1
506,1
507,3
508,2
509,4
510,1
511,3
512,0
513,4
514,3
515,0
516,2
517,2
518,1
519,1
520,0
521,3
522,2
523,3
524,3
525,2
526,0
527,0
528,3
529,4
530,1
531,4
532,3
533,4
534,3
535,0
536,3
537,0
538,0
539,4
540,1
541,3
542,1
543,0
544,0
545,3
546,0
547,1
548,0
549,0
550,4
551,4
552,0
553,0
554,0
555,1
556,2
557,4
558,2
559,0
560,3
561,2
562,1
563,3
564,2
565,1
566,0
567,1
568,3
569,0
570,0
571,2
572,2
573,0
574,0
575,1
576,2
577,4
578,0
579,0
580,2
581,3
582,2
583,2
584,3
585,4
586,0
587,3
588,3
589,4
590,3
591,3
592,0
593,2
594,0
595,1
596,0
597,3
598,4
599,1
600,0
601,2
602,2
603,3
604,0
605,0
606,1
607,1
608,1
609,3
610,4
611,0
612,3
613,4
614,0
615,2
616,3
617,1
618,1
619,3
620,3
621,2
622,4
623,3
624,3
625,0
626,3
627,4
628,4
629,3
630,1
631,2
632,0
633,4
634,4
635,3
636,2
637,2
638,2
639,3
640,3
641,2
642,3
643,3
644,4
645,3
646,0
647,3
648,1
649,2
650,1
651,4
652,3
653,1
654,2
655,4
656,3
657,0
658,4
659,1
660,3
661,0
662,0
663,0
664,3
665,3
666,1
667,0
668,3
669,0
670,0
671,2
672,3
673,1
674,2
675,3
676,2
677,4
678,1
679,0
680,1
681,0
682,4
683,0
684,1
685,2
686,1
687,1
688,3
689,0
690,3
691,0
692,1
693,3
694,4
695,3
696,0
697,1
698,3
699,3
700,2
701,2
702,2
703,0
704,3
705,0
706,0
707,2
708,4
709,4
710,2
711,0
712,3
713,1
714,0
715,0
716,2
717,0
718,3
719,0
720,4
721,2
722,0
723,1
724,2
725,3
726,4
727,2
728,3
729,3
730,3
731,2
732,2
733,3
734,4
735,2
736,1
737,0
738,0
739,2
740,2
741,1
742,2
743,4
744,2
745,1
746,0
747,0
748,4
749,3
750,0
751,1
752,1
753,2
754,0
755,2
756,1
757,2
758,4
759,3
760,2
761,1
762,4
763,2
764,0
765,2
766,0
767,2
768,1
769,4
770,0
771,3
772,0
773,3
774,3
775,3
776,4
777,4
778,2
779,0
780,2
781,2
782,4
783,4
784,1
785,1
786,2
787,0
788,2
789,2
790,3
791,1
792,1
793,0
794,0
795,1
796,2
797,1
798,3
799,1
800,2
801,4
802,2
803,2
804,3
805,2
806,3
807,3
808,3
809,4
810,0
811,0
812,0
813,0
814,1
815,0
816,1
817,2
818,1
819,2
820,2
821,3
822,3
823,0
824,0
825,0
826,4
827,3
828,3
829,0
830,2
831,2
832,2
833,1
834,4
835,4
836,1
837,1
838,3
839,2
840,3
841,2
842,4
843,4
844,4
845,2
846,0
847,1
848,2
849,0
850,0
851,4
852,0
853,2
854,4
855,0
856,4
857,4
858,1
859,1
860,1
861,3
862,3
863,4
864,1
865,2
866,4
867,0
868,4
869,2
870,4
871,3
872,2
873,2
874,3
875,0
876,1
877,1
878,0
879,2
880,0
881,1
882,0
883,2
884,3
885,4
886,3
887,3
888,4
889,3
890,3
891,3
892,2
893,4
894,3
895,3
896,1
897,3
898,4
899,1
900,2
901,0
902,4
903,2
904,2
905,0
906,1
907,0
908,3
909,4
910,2
911,1
912,3
913,3
914,1
915,1
916,3
917,3
918,1
919,4
920,0
921,0
922,2
923,3
924,2
925,3
926,3
927,3
928,2
929,0
930,2
931,4
932,4
933,2
934,3
935,0
936,3
937,2
938,3
939,1
940,3
941,3
942,2
943,0
944,3
945,0
946,0
947,1
948,0
949,1
950,0
951,3
952,3
953,0
954,4
955,0
956,2
957,0
958,0
959,2
960,4
961,0
962,2
963,1
