,0
0,0
1,3
2,2
3,2
4,2
5,0
6,1
7,0
8,1
9,2
10,0
11,2
12,1
13,1
14,3
15,0
16,3
17,0
18,1
19,0
20,0
21,4
22,0
23,4
24,3
25,0
26,2
27,0
28,4
29,0
30,4
31,4
32,2
33,2
34,0
35,3
36,3
37,4
38,2
39,2
40,3
41,4
42,2
43,3
44,1
45,4
46,0
47,3
48,1
49,2
50,4
51,1
52,3
53,2
54,0
55,2
56,2
57,1
58,3
59,0
60,2
61,2
62,3
63,2
64,0
65,1
66,3
67,3
68,1
69,2
70,0
71,4
72,3
73,1
74,1
75,1
76,2
77,0
78,3
79,2
80,1
81,3
82,1
83,0
84,4
85,2
86,4
87,4
88,2
89,3
90,4
91,4
92,2
93,2
94,2
95,3
96,2
97,3
98,0
99,3
100,2
101,0
102,1
103,0
104,3
105,2
106,0
107,3
108,4
109,4
110,1
111,3
112,4
113,3
114,1
115,1
116,0
117,3
118,0
119,3
120,4
121,2
122,0
123,3
124,3
125,2
126,3
127,1
128,2
129,3
130,2
131,1
132,0
133,2
134,0
135,1
136,1
137,4
138,1
139,2
140,1
141,3
142,3
143,1
144,1
145,2
146,0
147,2
148,1
149,4
150,0
151,1
152,0
153,4
154,1
155,0
156,4
157,3
158,1
159,2
160,3
161,3
162,1
163,1
164,0
165,3
166,0
167,4
168,0
169,1
170,3
171,4
172,0
173,3
174,4
175,3
176,2
177,3
178,1
179,0
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,2
189,2
190,2
191,2
192,2
193,0
194,2
195,1
196,1
197,1
198,2
199,0
200,2
201,4
202,0
203,4
204,1
205,0
206,2
207,4
208,4
209,1
210,4
211,1
212,3
213,2
214,0
215,0
216,4
217,1
218,4
219,4
220,1
221,1
222,2
223,1
224,2
225,2
226,1
227,1
228,3
229,1
230,1
231,0
232,2
233,2
234,4
235,2
236,0
237,4
238,0
239,1
240,2
241,1
242,1
243,2
244,1
245,0
246,1
247,0
248,0
249,1
250,2
251,0
252,0
253,2
254,3
255,0
256,2
257,4
258,0
259,3
260,2
261,4
262,4
263,4
264,1
265,1
266,1
267,2
268,2
269,4
270,4
271,2
272,1
273,1
274,4
275,2
276,2
277,2
278,0
279,4
280,1
281,0
282,1
283,1
284,3
285,3
286,3
287,4
288,2
289,3
290,1
291,4
292,2
293,3
294,0
295,1
296,2
297,3
298,2
299,2
300,2
301,1
302,3
303,1
304,3
305,1
306,1
307,1
308,3
309,1
310,1
311,4
312,1
313,3
314,3
315,3
316,3
317,2
318,0
319,1
320,0
321,4
322,3
323,2
324,3
325,0
326,1
327,2
328,2
